date,value
2018-12-20 00:00:02,11.51
2018-12-20 00:00:45,13.38
2018-12-20 00:00:58,15.31
2018-12-20 00:01:13,13.49
2018-12-20 00:01:53,11.55
2018-12-20 00:02:12,9.62
2018-12-20 00:02:35,11.52
2018-12-20 00:02:46,13.46
2018-12-20 00:03:09,15.66
2018-12-20 00:03:43,13.49
2018-12-20 00:04:21,11.64
2018-12-20 00:05:14,13.44
2018-12-20 00:05:43,15.32
2018-12-20 00:06:23,13.43
2018-12-20 00:07:18,15.6
2018-12-20 00:08:11,13.74
2018-12-20 00:08:29,11.75
2018-12-20 00:10:33,13.63
2018-12-20 00:10:44,15.6
2018-12-20 00:11:33,13.77
2018-12-20 00:12:41,15.77
2018-12-20 00:13:19,13.58
2018-12-20 00:13:48,11.78
2018-12-20 00:14:23,13.91
2018-12-20 00:15:10,12.04
2018-12-20 00:16:03,13.88
2018-12-20 00:17:25,16.09
2018-12-20 00:17:43,17.91
2018-12-20 00:18:00,15.99
2018-12-20 00:18:28,13.94
2018-12-20 00:20:07,16.14
2018-12-20 00:21:09,14.06
2018-12-20 00:21:34,12.05
2018-12-20 00:22:11,13.91
2018-12-20 00:24:16,15.89
2018-12-20 00:24:55,14.01
2018-12-20 00:25:16,12.16
2018-12-20 00:25:27,10.31
2018-12-20 00:25:52,12.36
2018-12-20 00:26:17,14.24
2018-12-20 00:28:02,12.36
2018-12-20 00:28:14,10.43
2018-12-20 00:31:04,12.26
2018-12-20 00:32:05,14.24
2018-12-20 00:32:36,12.39
2018-12-20 00:33:29,14.38
2018-12-20 00:33:40,16.33
2018-12-20 00:34:11,14.34
2018-12-20 00:34:20,12.42
2018-12-20 00:35:07,14.36
2018-12-20 00:35:23,16.27
2018-12-20 00:35:47,14.44
2018-12-20 00:35:58,12.5
2018-12-20 00:36:48,14.36
2018-12-20 00:37:29,12.52
2018-12-20 00:37:49,14.67
2018-12-20 00:38:12,16.58
2018-12-20 00:38:25,14.76
2018-12-20 00:38:42,12.92
2018-12-20 00:38:49,10.98
2018-12-20 00:39:00,8.92
2018-12-20 00:39:27,10.78
2018-12-20 00:39:37,12.6
2018-12-20 00:40:19,10.75
2018-12-20 00:40:52,12.9
2018-12-20 00:42:19,11.1
2018-12-20 00:43:12,13.0
2018-12-20 00:44:45,11.15
2018-12-20 00:45:30,9.22
2018-12-20 00:45:44,7.38
2018-12-20 00:46:07,9.53
2018-12-20 00:46:22,11.48
2018-12-20 00:46:51,13.38
2018-12-20 00:47:12,11.55
2018-12-20 00:47:31,9.66
2018-12-20 00:47:57,11.89
2018-12-20 00:48:12,13.7
2018-12-20 00:49:20,11.89
2018-12-20 00:49:45,10.0
2018-12-20 00:50:54,8.07
2018-12-20 00:51:43,10.16
2018-12-20 00:51:59,12.09
2018-12-20 00:52:40,10.26
2018-12-20 00:54:57,8.44
2018-12-20 00:55:30,10.42
2018-12-20 00:56:00,12.44
2018-12-20 00:56:38,10.29
2018-12-20 00:57:07,12.28
2018-12-20 00:59:50,10.47
2018-12-20 01:02:08,8.61
2018-12-20 01:02:37,10.54
2018-12-20 01:06:00,12.55
2018-12-20 01:06:27,10.73
2018-12-20 01:07:19,8.78
2018-12-20 01:08:15,10.6
2018-12-20 01:10:23,8.8
2018-12-20 01:14:05,10.66
2018-12-20 01:14:24,8.84
2018-12-20 01:16:39,10.7
2018-12-20 01:17:26,8.64
2018-12-20 01:19:04,10.64
2018-12-20 01:19:38,8.82
2018-12-20 01:21:05,6.73
2018-12-20 01:21:36,8.58
2018-12-20 01:22:03,10.47
2018-12-20 01:22:44,12.41
2018-12-20 01:23:04,10.4
2018-12-20 01:23:34,8.31
2018-12-20 01:24:19,10.2
2018-12-20 01:26:52,8.36
2018-12-20 01:27:41,10.35
2018-12-20 01:27:55,12.24
2018-12-20 01:28:27,10.35
2018-12-20 01:28:38,8.51
2018-12-20 01:28:57,6.7
2018-12-20 01:29:28,8.54
2018-12-20 01:29:37,10.37
2018-12-20 01:30:18,8.55
2018-12-20 01:30:31,6.69
2018-12-20 01:31:14,8.6
2018-12-20 01:33:46,10.4
2018-12-20 01:34:19,8.54
2018-12-20 01:34:34,6.54
2018-12-20 01:35:04,8.64
2018-12-20 01:35:12,10.5
2018-12-20 01:35:47,8.58
2018-12-20 01:36:39,10.62
2018-12-20 01:40:52,8.72
2018-12-20 01:41:42,6.69
2018-12-20 01:42:14,8.49
2018-12-20 01:43:31,10.43
2018-12-20 01:44:00,9.56
2018-12-20 01:44:04,8.6
2018-12-20 01:45:06,10.43
2018-12-20 01:46:14,8.47
2018-12-20 01:47:27,10.31
2018-12-20 01:47:43,12.45
2018-12-20 01:48:17,10.24
2018-12-20 01:48:26,8.32
2018-12-20 01:48:38,6.43
2018-12-20 01:49:50,8.29
2018-12-20 01:50:57,10.1
