date,value
2017/09/01 00:00:33,293
2017/09/01 00:01:36,312.6
2017/09/01 00:02:46,316.6
2017/09/01 00:03:53,290.8
2017/09/01 00:05:00,292.6
2017/09/01 00:06:47,281
2017/09/01 00:07:58,274.8
2017/09/01 00:09:00,284.1
2017/09/01 00:37:29,248.8
2017/09/01 00:10:46,297.7
2017/09/01 00:12:00,288.1
2017/09/01 00:13:11,288.6
2017/09/01 00:14:25,274.7
2017/09/01 00:15:50,279.8
2017/09/01 00:17:00,278.4
2017/09/01 00:18:00,276.1
2017/09/01 00:19:00,271
2017/09/01 00:20:05,258.9
2017/09/01 00:21:12,257.8
2017/09/01 00:22:12,262
2017/09/01 00:23:30,266
2017/09/01 00:25:00,258.7
2017/09/01 00:26:00,254.1
2017/09/01 00:27:23,250.1
2017/09/01 00:28:24,247.6
2017/09/01 00:29:59,242.4
2017/09/01 00:31:00,241.7
2017/09/01 00:32:46,247.9
2017/09/01 00:33:50,253.6
2017/09/01 00:35:00,246.5
2017/09/01 00:36:28,245.4
2017/09/01 00:38:32,250.7
2017/09/01 00:39:46,253.3
2017/09/01 00:41:00,252.6
2017/09/01 00:42:00,248.2
2017/09/01 00:44:00,239.9
2017/09/01 00:45:11,242.5
2017/09/01 00:46:34,257.1
2017/09/01 00:47:39,265.2
2017/09/01 00:48:48,290.6
2017/09/01 00:49:53,286.6
2017/09/01 00:50:58,278.9
2017/09/01 00:52:00,256.1
2017/09/01 00:53:00,250.3
2017/09/01 00:54:22,247.8
2017/09/01 00:55:26,261.3
2017/09/01 00:56:43,254
2017/09/01 00:57:47,260.3
2017/09/01 00:59:00,263.8
2017/09/01 01:00:30,277.3
2017/09/01 01:01:59,286.4
2017/09/01 01:03:00,288.1
2017/09/01 01:04:00,289.1
2017/09/01 01:05:05,290.2
2017/09/01 01:06:21,289
2017/09/01 01:07:23,279.2
2017/09/01 01:09:00,274.2
2017/09/01 01:10:00,276.3
2017/09/01 01:11:20,277.9
2017/09/01 01:12:28,272.9
2017/09/01 01:13:35,272.2
2017/09/01 01:14:41,278.1
2017/09/01 01:16:00,277
2017/09/01 01:17:00,280.9
2017/09/01 01:18:28,287.5
2017/09/01 01:20:00,285.7
2017/09/01 01:21:00,279.6
2017/09/01 01:22:29,275.2
2017/09/01 01:24:00,272.7
2017/09/01 01:25:06,276.6
2017/09/01 01:27:00,274.4
2017/09/01 01:28:00,268.8
2017/09/01 01:33:51,246.2
2017/09/01 01:29:00,267
2017/09/01 01:30:00,263.9
2017/09/01 01:31:06,263.5
2017/09/01 01:32:42,256.7
2017/09/01 01:35:00,244.1
2017/09/01 01:36:00,238.8
2017/09/01 01:37:00,234.3
2017/09/01 01:38:02,237.1
2017/09/01 01:39:51,238
2017/09/01 01:41:00,246.4
2017/09/01 01:42:42,257.2
2017/09/01 01:43:42,252.6
2017/09/01 01:44:51,238.5
2017/09/01 01:45:54,228.5
2017/09/01 01:46:55,227.8
2017/09/01 01:48:00,232.1
2017/09/01 01:49:05,227.4
2017/09/01 01:50:43,234.9
2017/09/01 01:51:48,228.8
2017/09/01 01:53:00,228.2
2017/09/01 01:54:03,226.4
2017/09/01 01:55:05,225.7
2017/09/01 01:56:19,226.4
2017/09/01 01:57:21,228.3
2017/09/01 01:59:00,227.9
2017/09/01 02:00:00,227.7
2017/09/01 02:01:09,227
2017/09/01 02:02:24,228.9
2017/09/01 02:03:38,239.7
2017/09/01 02:05:00,271.7
2017/09/01 02:06:00,269.2
2017/09/01 02:07:09,270.2
2017/09/01 02:08:15,257.5
2017/09/01 02:09:30,248.1
2017/09/01 02:10:39,246.4
2017/09/01 02:12:00,249.1
2017/09/01 02:13:15,253.7
2017/09/01 02:14:24,255.7
2017/09/01 02:15:45,250.1
2017/09/01 02:16:54,236.2
2017/09/01 02:17:55,228.5
2017/09/01 02:19:00,230.3
2017/09/01 02:20:00,227.5
2017/09/01 02:21:22,230.9
2017/09/01 02:22:24,227.5
2017/09/01 02:23:25,225.5
2017/09/01 02:24:30,231.8
2017/09/01 02:25:37,237.2
2017/09/01 02:27:00,241.5
2017/09/01 02:28:20,248.5
2017/09/01 02:29:28,240.9
2017/09/01 02:30:55,222.1
2017/09/01 02:32:00,214.8
2017/09/01 02:33:00,216.4
2017/09/01 02:34:00,205.4
2017/09/01 02:35:00,201.4
2017/09/01 02:36:46,201
2017/09/01 02:38:00,193.3
2017/09/01 02:39:01,192
2017/09/01 02:40:28,193.5
2017/09/01 02:41:50,188.2
2017/09/01 02:43:00,185.3
2017/09/01 02:44:00,183.5
2017/09/01 02:45:01,190.2
2017/09/01 02:46:25,203.9
2017/09/01 02:47:26,200.7
2017/09/01 02:48:31,195
2017/09/01 02:49:38,173
2017/09/01 02:50:45,162
2017/09/01 02:55:20,167.3
2017/09/01 02:51:52,173.7
2017/09/01 02:53:00,177.5
2017/09/01 02:54:04,175
2017/09/01 02:56:27,170.4
2017/09/01 02:57:30,168.7
2017/09/01 02:59:00,160.1
