date,value
2018-05-31 00:00:12,15.39
2018-05-31 00:00:22,17.31
2018-05-31 00:00:41,15.19
2018-05-31 00:01:10,13.31
2018-05-31 00:02:03,15.24
2018-05-31 00:02:17,17.23
2018-05-31 00:02:45,15.4
2018-05-31 00:03:30,15.0
2018-05-31 00:04:06,13.38
2018-05-31 00:05:11,11.01
2018-05-31 00:05:46,12.87
2018-05-31 00:05:58,14.79
2018-05-31 00:06:12,16.7
2018-05-31 00:06:45,14.88
2018-05-31 00:07:03,16.94
2018-05-31 00:07:36,14.95
2018-05-31 00:08:02,16.83
2018-05-31 00:08:19,15.02
2018-05-31 00:08:29,12.98
2018-05-31 00:09:14,14.85
2018-05-31 00:09:51,17.04
2018-05-31 00:10:08,15.13
2018-05-31 00:10:19,13.23
2018-05-31 00:10:50,15.08
2018-05-31 00:11:14,16.9
2018-05-31 00:12:39,19.08
2018-05-31 00:13:56,17.26
2018-05-31 00:14:06,19.12
2018-05-31 00:14:16,20.92
2018-05-31 00:14:38,19.09
2018-05-31 00:14:45,17.17
2018-05-31 00:14:53,15.02
2018-05-31 00:15:18,16.91
2018-05-31 00:17:21,15.08
2018-05-31 00:18:00,16.97
2018-05-31 00:18:08,19.08
2018-05-31 00:18:22,20.89
2018-05-31 00:18:43,19.01
2018-05-31 00:19:16,17.06
2018-05-31 00:19:53,15.07
2018-05-31 00:20:05,17.1
2018-05-31 00:20:12,19.26
2018-05-31 00:20:33,17.38
2018-05-31 00:20:39,15.33
2018-05-31 00:20:46,13.44
2018-05-31 00:21:10,15.26
2018-05-31 00:22:28,13.43
2018-05-31 00:22:41,11.41
2018-05-31 00:23:16,9.46
2018-05-31 00:23:30,9.01
2018-05-31 00:23:46,11.3
2018-05-31 00:24:14,13.18
2018-05-31 00:25:06,11.35
2018-05-31 00:25:27,13.2
2018-05-31 00:26:00,15.24
2018-05-31 00:26:30,13.25
2018-05-31 00:26:44,11.24
2018-05-31 00:27:08,13.07
2018-05-31 00:27:24,15.02
2018-05-31 00:27:31,17.06
2018-05-31 00:28:05,15.2
2018-05-31 00:30:11,17.04
2018-05-31 00:30:35,15.11
2018-05-31 00:32:06,13.13
2018-05-31 00:32:37,14.98
2018-05-31 00:32:52,16.94
2018-05-31 00:33:00,18.76
2018-05-31 00:33:07,20.95
2018-05-31 00:33:34,19.1
2018-05-31 00:33:41,17.28
2018-05-31 00:33:46,15.22
2018-05-31 00:34:09,13.25
2018-05-31 00:34:38,15.05
2018-05-31 00:35:33,17.13
2018-05-31 00:35:42,15.02
2018-05-31 00:35:58,13.1
2018-05-31 00:36:16,15.11
2018-05-31 00:36:48,13.13
2018-05-31 00:38:53,10.81
2018-05-31 00:39:46,12.87
2018-05-31 00:39:54,15.28
2018-05-31 00:41:05,13.3
2018-05-31 00:41:33,15.33
2018-05-31 00:41:40,17.27
2018-05-31 00:42:05,15.33
2018-05-31 00:42:15,13.49
2018-05-31 00:43:04,15.44
2018-05-31 00:43:12,17.55
2018-05-31 00:43:30,17.55
2018-05-31 00:44:58,15.64
2018-05-31 00:45:07,13.69
2018-05-31 00:45:16,15.56
2018-05-31 00:45:27,17.37
2018-05-31 00:45:56,15.39
2018-05-31 00:46:29,18.02
2018-05-31 00:46:37,20.04
2018-05-31 00:47:02,18.0
2018-05-31 00:47:09,16.14
2018-05-31 00:47:32,14.24
2018-05-31 00:48:00,16.06
2018-05-31 00:48:49,18.07
2018-05-31 00:49:19,16.23
2018-05-31 00:49:59,14.23
2018-05-31 00:51:05,16.07
2018-05-31 00:52:27,17.96
2018-05-31 00:52:58,16.07
2018-05-31 00:54:09,17.98
2018-05-31 00:54:37,16.17
2018-05-31 00:55:00,18.08
2018-05-31 00:55:16,15.9
2018-05-31 00:55:48,13.97
2018-05-31 00:56:06,16.02
2018-05-31 00:56:36,17.85
2018-05-31 00:57:02,16.05
2018-05-31 00:57:18,14.18
2018-05-31 00:57:28,11.79
2018-05-31 00:57:39,9.5
2018-05-31 00:58:09,11.38
2018-05-31 00:58:25,13.3
2018-05-31 00:58:44,11.27
2018-05-31 00:59:10,13.14
2018-05-31 00:59:28,15.22
2018-05-31 00:59:38,17.06
2018-05-31 00:59:48,15.12
2018-05-31 01:00:57,13.31
2018-05-31 01:01:14,11.49
2018-05-31 01:02:05,13.57
2018-05-31 01:03:30,14.38
2018-05-31 01:03:33,15.48
2018-05-31 01:04:00,13.51
2018-05-31 01:04:36,15.4
2018-05-31 01:04:46,17.34
2018-05-31 01:05:00,19.46
2018-05-31 01:05:24,17.38
2018-05-31 01:05:30,15.44
2018-05-31 01:05:39,13.44
2018-05-31 01:05:45,11.64
2018-05-31 01:06:31,13.63
2018-05-31 01:06:43,15.46
2018-05-31 01:06:56,13.64
2018-05-31 01:07:48,15.53
2018-05-31 01:08:02,17.54
2018-05-31 01:08:26,15.44
